Bird.ID,Species,Species.Scientific,Nest.Type.Specific,Nest.Type,Sex,Family,Assay,Vocalizations,Songs,Hovers,Flyovers,Dives,Pecks,Attacks,Physical.Contact,Attack.Rate,Chase,Tail-flicks,Wing Waves,Copulation Attempts,Distance (raw/epochs),Mount.Sex
154,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,15,21,0,1,1,0,0,0,0,0,0,0,0,0,2.4,M
155,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,17,0,0,0,0,0,0,0,0,0,0,0,0,0,9.672413793,F
156,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,18,33,0,0,1,0,0,0,0,0,0,0,0,0,5.50877193,F
157,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,19,1,0,0,2,0,0,0,0,0,0,0,0,0,3.02,F
161,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,20,17,0,1,5,0,0,1,1,0.01754386,0,0,0,0,2.964912281,M
158,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,21,4,0,0,0,0,0,0,0,0,0,0,0,0,10.39473684,F
159,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,22,23,0,0,0,0,0,0,0,0,0,0,0,0,4.905660377,M
160,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,23,8,0,0,1,0,0,0,0,0,0,0,0,0,4.564102564,M
167,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,3,8,0,1,11,0,0,0,0,0,0,13,12,0,1.028301887,M
168,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,4,13,6,0,3,2,0,0,0,0,0,2,0,0,5.15,M
178,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,6,13,0,0,9,1,0,13,13,0.216666667,0,0,9,0,0.816666667,M
177,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,8,2,0,0,5,0,0,6,6,0.176470588,0,4,7,0,0.441176471,M
179,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,10,10,0,0,7,0,0,16,16,0.266666667,0,0,8,0,0.233333333,F
176,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,11,1,0,0,3,0,0,9,9,0.15,0,1,4,0,0.416666667,M
166,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,12,2,0,0,2,0,0,0,0,0,0,0,0,0,5.5,F
172,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,17,48,3,0,0,0,0,1,1,0.016666667,0,0,2,2,0.166666667,F
175,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,18,19,0,1,2,0,0,3,3,0.058823529,0,1,6,0,0.62745098,F
173,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,20,23,0,0,8,0,0,1,1,0.016666667,0,0,27,0,0.4,F
169,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,21,37,0,3,0,0,0,0,0,0,0,0,0,0,0.383333333,F
170,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,22,17,0,0,0,0,0,0,0,0,0,0,0,0,1.28,F
171,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,23,15,0,0,0,0,0,0,0,0,0,0,0,0,7.042553191,F
174,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,F,Troglodytidae,24,5,0,0,0,0,0,1,1,0.028571429,0,0,31,0,0.471428571,F
180,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,1,0,24,0,2,0,0,0,0,0,0,10,8,0,0.808333333,NA
192,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,2,7,10,0,13,0,0,14,14,0.233333333,0,0,6,0,2.4,M
200,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,3,3,4,0,7,0,0,43,43,0.716666667,0,0,7,0,0.141666667,M
193,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,5,5,7,0,5,0,0,19,19,0.316666667,0,5,1,0,3.25,M
188,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,6,4,15,0,18,0,0,2,2,0.033333333,0,0,3,0,2.416666667,M
186,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,7,10,17,0,13,0,0,1,1,0.016666667,0,1,2,0,2.591666667,F
201,House Wren,Troglodytes_aedon,Obligate.Cavity,zCavity,M,Troglodytidae,8,0,1,0,8,0,0,52,52,0.866666667,0,1,2,0,0.241666667,M
